0.069,0.06,0.067,0.068,0.069,0.067,0.07,0.066,0.068,0.069,0.067,0.068,0.069,0.066,0.068,0.069,0.067,0.068,0.069,0.067,0.068,0.069,0.067,0.068,0.069,0.071,0.068,0.069,0.067,0.068
0.74,0.74,0.721,0.684,0.8,0.615,0.829,0.675,0.847,0.699,,,,,,,,,,,,,,,,,,,,
0.075,0.073,0.089,0.079,0.069,0.082,0.077,0.078,0.076,0.08,0.074,0.081,0.077,0.079,0.075,0.078,0.076,0.08,0.074,0.081,0.077,0.079,0.075,0.078,0.076,0.082,0.077,0.079,0.075,0.078
0.393,0.41,0.375,0.429,0.35,0.255,0.52,0.388,0.466,0.533,,,,,,,,,,,,,,,,,,,,
0.351,0.408,0.35,0.374,0.367,0.369,0.365,0.37,0.368,0.366,0.372,0.367,0.369,0.365,0.37,0.368,0.366,0.372,0.367,0.369,0.365,0.37,0.368,0.366,0.372,0.367,0.369,0.365,0.37,0.368
0.367,0.362,0.35,0.392,0.36,0.22,0.405,0.375,0.35,0.511,,,,,,,,,,,,,,,,,,,,
0.023,0.032,0.025,0.027,0.028,0.026,0.029,0.031,0.03,0.024,0.033,0.025,0.027,0.02,0.029,0.028,0.03,0.026,0.032,0.027,0.025,0.028,0.03,0.031,0.023,0.029,0.027,0.034,0.025,0.028
0.44,0.395,0.472,0.458,0.429,0.486,0.409,0.451,0.377,0.467,,,,,,,,,,,,,,,,,,,,
0.027,0.027,0.026,0.031,0.028,0.03,0.026,0.029,0.027,0.032,0.028,0.03,0.029,0.026,0.031,0.034,0.025,0.027,0.029,0.031,0.028,0.03,0.027,0.032,0.028,0.026,0.029,0.031,0.027,0.03
0.74,0.683,0.772,0.761,0.755,0.701,0.796,0.715,0.668,0.782,,,,,,,,,,,,,,,,,,,,
